symbol;nazwa;opisObejmujeNieobejmuje;id;opis
10.11;Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu;;144;Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu
10.11.Z;Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu;10.11.Z Podklasa ta obejmuje: czynności związane z ubojem zwierząt, obróbką poubojową i paczkowaniem mięsa z bydła, świń, jagniąt, owiec, królików itp., produkcję świeżego, schłodzonego lub zamrożonego mięsa w tuszach, produkcję świeżego, schłodzonego lub zamrożonego mięsa w kawałkach, ubój i przetwarzanie wielorybów na lądzie lub na specjalistycznych statkach, produkcję skór surowych i skór pochodzących z rzeźni, włączając zdejmowanie wełny ze skór owczych, wytapianie jadalnego smalcu i innych tłuszczów jadalnych pochodzenia zwierzęcego, przetwarzanie odpadów zwierzęcych, produkcję wełny surowej poubojowej. Podklasa ta nie obejmuje: wytapiania jadalnych tłuszczów z drobiu, sklasyfikowanego w 10.12.Z, pakowania mięsa wykonywanego na zlecenie, sklasyfikowanego w 82.92.Z.;145;Przetwarzanie i konserwowanie mięsa, z wyłączeniem mięsa z drobiu
10.12;Przetwarzanie i konserwowanie mięsa z drobiu;;146;Przetwarzanie i konserwowanie mięsa z drobiu
10.12.Z;Przetwarzanie i konserwowanie mięsa z drobiu;10.12.Z Podklasa ta obejmuje: czynności rzeźni związane z ubojem drobiu, obróbką poubojową i pakowaniem mięsa z drobiu, produkcję świeżego, schłodzonego lub zamrożonego mięsa z drobiu, porcjowanego, wytapianie jadalnych tłuszczów z drobiu, produkcję pierza i puchu. Podklasa ta nie obejmuje: pakowania mięsa wykonywanego na zlecenie, sklasyfikowanego w 82.92.Z.;147;Przetwarzanie i konserwowanie mięsa z drobiu
10.13;Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego;;148;Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego
10.13.Z;Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego;10.13.Z Podklasa ta obejmuje: produkcję mięsa suszonego, solonego lub wędzonego, produkcję wyrobów z mięsa: kiełbas, wędlin, pasztetów, puddingów mięsnych, ?andouillettes? (małe kiełbaski wyrabiane z flaczków), saveloy (potrawa z mięsa, gotowana na parze, często w cieście). Podklasa ta nie obejmuje: produkcji gotowych dań z mięsa (w tym z mięsa drobiowego), zamrożonych, sklasyfikowanej w 10.85.Z, produkcji zup zawierających mięso, sklasyfikowanej w 10.89.Z, handlu hurtowego mięsem, sklasyfikowanego w 46.32.Z, pakowania mięsa wykonywanego na zlecenie, sklasyfikowanego w 82.92.Z.;149;Produkcja wyrobów z mięsa, włączając wyroby z mięsa drobiowego
10.20;Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków;;151;Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków
10.20.Z;Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków;10.20.Z Podklasa ta obejmuje: przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków obejmujące: mrożenie, głębokie mrożenie, suszenie, gotowanie, wędzenie, solenie, przechowywanie w solance, puszkowanie itp., produkcję wyrobów z ryb, skorupiaków i mięczaków: filetów rybnych, ikry, kawioru, substytutów kawioru itp., produkcję mączki rybnej, przeznaczonej do spożycia przez ludzi lub do karmienia zwierząt, produkcję mąki, mączki i granulek z ryb i ssaków morskich, nienadających się do spożycia przez ludzi, działalność statków, na których dokonuje się wyłącznie przetwarzania i konserwowania ryb, obróbkę wodorostów. Podklasa ta nie obejmuje: przetwarzania ryb na statkach prowadzących połowy ryb, sklasyfikowanego w 03.11.Z, przetwarzania wielorybów na lądzie lub na specjalistycznych statkach, sklasyfikowanego w 10.11.Z, produkcji olejów i tłuszczów z ryb i ssaków morskich, sklasyfikowanej w 10.41.Z, produkcji gotowych, mrożonych dań rybnych, sklasyfikowanej w 10.85.Z, produkcji zup rybnych, sklasyfikowanej w 10.89.Z.;152;Przetwarzanie i konserwowanie ryb, skorupiaków i mięczaków
10.31;Przetwarzanie i konserwowanie ziemniaków;;154;Przetwarzanie i konserwowanie ziemniaków
10.31.Z;Przetwarzanie i konserwowanie ziemniaków;10.31.Z Podklasa ta obejmuje: przetwarzanie i konserwowanie ziemniaków: produkcję gotowych mrożonych ziemniaków, produkcję ziemniaków purée w proszku, produkcję zakąsek ziemniaczanych, produkcję chrupek ziemniaczanych (chipsów), produkcję mąki i mączki ziemniaczanej, przemysłowe obieranie ziemniaków.;155;Przetwarzanie i konserwowanie ziemniaków
10.32;Produkcja soków z owoców i warzyw;;156;Produkcja soków z owoców i warzyw
10.32.Z;Produkcja soków z owoców i warzyw;10.32.Z Podklasa ta obejmuje: produkcję soków z owoców i warzyw, produkcję koncentratów ze świeżych owoców i warzyw.;157;Produkcja soków z owoców i warzyw
10.39;Pozostałe przetwarzanie i konserwowanie owoców i warzyw;;158;Pozostałe przetwarzanie i konserwowanie owoców i warzyw
10.39.Z;Pozostałe przetwarzanie i konserwowanie owoców i warzyw;"10.39.Z Podklasa ta obejmuje: produkcję żywności składającej się głównie z owoców lub warzyw, z wyłączeniem gotowych dań - mrożonych lub w puszkach, konserwowanie owoców, orzechów i warzyw poprzez zamrażanie, suszenie, zalewanie olejem lub octem, puszkowanie itp., wytwarzanie owocowych i warzywnych artykułów spożywczych, produkcję dżemów, marmolady i galaretek, prażenie orzechów, produkcję artykułów spożywczych z orzechów, produkcję łatwo psujących się gotowych potraw z owoców i warzyw, takich jak: sałatki; pakowane mieszanki sałatek, obrane lub pocięte warzywa, tofu (ser sojowy). Podklasa ta nie obejmuje: produkcji soków z owoców i warzyw, sklasyfikowanej w 10.32.Z, produkcji mąki i mączki z roślin strączkowych, sklasyfikowanej w 10.61.Z, konserwowania w cukrze owoców i orzechów, sklasyfikowanego w 10.82.Z, produkcji gotowych dań warzywnych, sklasyfikowanej w 10.85.Z, produkcji sztucznych koncentratów spożywczych, sklasyfikowanej w 10.89.Z.";159;Pozostałe przetwarzanie i konserwowanie owoców i warzyw
10.41;Produkcja olejów i pozostałych tłuszczów płynnych;;161;Produkcja olejów i pozostałych tłuszczów płynnych
10.41.Z;Produkcja olejów i pozostałych tłuszczów płynnych;10.41.Z Podklasa ta obejmuje: produkcję nieoczyszczonych olejów roślinnych: oliwy z oliwek, oleju sojowego, oleju palmowego, oleju słonecznikowego, oleju z nasion bawełny, oleju rzepakowego, oleju gorczycowego, oleju z siemienia lnianego itp., produkcję nieodtłuszczonej mąki i mączki z nasion roślin oleistych, orzechów lub ziaren oleistych, produkcję rafinowanych olejów roślinnych: oliwy z oliwek, oleju sojowego itp., przetwarzanie olejów roślinnych: parowanie, gotowanie, odwadnianie, utwardzanie itp., produkcję niejadalnych olejów i tłuszczów zwierzęcych, produkcję olejów z ryb i ssaków morskich, produkcję puchu bawełnianego (lintersu), makuchów z nasion oleistych oraz innych pozostałości powstających przy produkcji oleju. Podklasa ta nie obejmuje: wytapiania i rafinacji smalcu i innych zwierzęcych tłuszczów jadalnych, sklasyfikowanych w 10.11.Z, produkcji margaryny, sklasyfikowanej w 10.42.Z, mielenia kukurydzy metodą mokrą i wytwarzania oleju kukurydzianego, sklasyfikowanych w 10.62.Z, wytwarzania olejków eterycznych, sklasyfikowanego w 20.53.Z, przetwarzania olejów i tłuszczów za pomocą procesów chemicznych, sklasyfikowanego w 20.59.Z.;162;Produkcja olejów i pozostałych tłuszczów płynnych
10.42;Produkcja margaryny i podobnych tłuszczów jadalnych;;163;Produkcja margaryny i podobnych tłuszczów jadalnych
10.42.Z;Produkcja margaryny i podobnych tłuszczów jadalnych;10.42.Z Podklasa ta obejmuje: produkcję margaryny, produkcję past będących mieszaniną różnych tłuszczów jadalnych, produkcję jadalnych mieszanek tłuszczowych zapobiegających przywieraniu do form.;164;Produkcja margaryny i podobnych tłuszczów jadalnych
10.51;Przetwórstwo mleka i wyrób serów;;166;Przetwórstwo mleka i wyrób serów
10.51.Z;Przetwórstwo mleka i wyrób serów;10.51.Z Podklasa ta obejmuje: produkcję świeżego płynnego mleka, mleka sterylizowanego (włączając mleko pasteryzowane lub poddane działaniu bardzo wysokich temperatur (tzw. UHT)) oraz mleka homogenizowanego, produkcję napojów bezalkoholowych na bazie mleka, produkcję śmietany ze świeżego mleka: sterylizowanej (włączając śmietanę pasteryzowaną lub poddaną działaniu bardzo wysokich temperatur (tzw. UHT)), homogenizowanej, produkcję mleka odwodnionego lub zagęszczonego, słodzonego lub niesłodzonego, produkcję mleka lub śmietany w postaci stałej, produkcję masła, produkcję jogurtu i kefiru, produkcję serów i twarogów, produkcję serwatki, produkcję kazeiny i laktozy. Podklasa ta nie obejmuje: produkcji surowego mleka krowiego i bawolego, sklasyfikowanej w 01.41.Z, produkcji surowego mleka owiec i kóz, sklasyfikowanej w 01.45.Z, produkcji substytutów mleka i sera nie opartych na mleku, sklasyfikowanej w 10.89.Z.;167;Przetwórstwo mleka i wyrób serów
10.52;Produkcja lodów;;168;Produkcja lodów
10.52.Z;Produkcja lodów;10.52.Z Podklasa ta obejmuje: produkcję lodów i innych deserów mrożonych, np. sorbetów. Podklasa ta nie obejmuje: działalności lodziarni, sklasyfikowanej w 56.10.A, 56.10.B.;169;Produkcja lodów
10.61;Wytwarzanie produktów przemiału zbóż;;171;Wytwarzanie produktów przemiału zbóż
10.61.Z;Wytwarzanie produktów przemiału zbóż;"10.61.Z Podklasa ta obejmuje: przemiał zbóż: produkcję mąki, kasz, mączki i śruty pszennej; przemiał żyta, owsa, kukurydzy i innych zbóż, przemiał ryżu: produkcję ryżu łuskanego, mielonego, polerowanego, lukrowanego, parowanego lub preparowanego; produkcję mąki ryżowej, przemiał surowców warzywnych: produkcję mąki i mączki z suszonych nasion roślin strączkowych, korzeni lub bulw oraz z orzechów jadalnych, wytwarzanie zbożowej żywności śniadaniowej, wytwarzanie mąki wieloskładnikowej oraz mieszanek do wypieku chleba, ciast, herbatników i naleśników. Podklasa ta nie obejmuje: produkcji mąki i mączki ziemniaczanej, sklasyfikowanej w 10.31.Z, mielenia kukurydzy metodą mokrą, sklasyfikowanej w 10.62.Z.";172;Wytwarzanie produktów przemiału zbóż
10.62;Wytwarzanie skrobi i wyrobów skrobiowych;;173;Wytwarzanie skrobi i wyrobów skrobiowych
10.62.Z;Wytwarzanie skrobi i wyrobów skrobiowych;10.62.Z Podklasa ta obejmuje: wytwarzanie skrobi z ziemniaków, ryżu, kukurydzy itp., mielenie kukurydzy metodą mokrą, wytwarzanie glukozy, syropu glukozowego, maltozy, inuliny, izoglukozy itp., wytwarzanie glutenu, wytwarzanie tapioki i jej namiastek ze skrobi, wytwarzanie oleju kukurydzianego. Podklasa ta nie obejmuje: wytwarzania laktozy (cukru mlekowego), sklasyfikowanego w 10.51.Z, produkcji cukru trzcinowego lub buraczanego, sklasyfikowanej w 10.81.Z.;174;Wytwarzanie skrobi i wyrobów skrobiowych
10.71;"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek";;176;"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek"
10.71.Z;"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek";10.71.Z Podklasa ta obejmuje produkcję: chleba i bułek, ciast, ciastek, placków, tarty, naleśników, gofrów itp. Podklasa ta nie obejmuje: produkcji suchych wyrobów piekarskich i ciastkarskich, sklasyfikowanej w 10.72.Z, produkcji wyrobów mącznych (makaronów), sklasyfikowanej w 10.73.Z, podgrzewania wyrobów piekarskich do bezpośredniej konsumpcji, sklasyfikowanego w odpowiednich podklasach działu 56.;177;"Produkcja pieczywa; produkcja świeżych wyrobów ciastkarskich i ciastek"
10.72;"Produkcja sucharów i herbatników; produkcja konserwowanych wyrobów ciastkarskich i ciastek";;178;"Produkcja sucharów i herbatników; produkcja konserwowanych wyrobów ciastkarskich i ciastek"
10.72.Z;"Produkcja sucharów i herbatników; produkcja konserwowanych wyrobów ciastkarskich i ciastek";10.72.Z Podklasa ta obejmuje: produkcję sucharów, herbatników i pozostałych suchych wyrobów piekarskich i ciastkarskich, produkcję konserwowanych ciast i ciastek, produkcję słodkich lub słonych przekąsek (paluszków, krakersów, precli itp.). Podklasa ta nie obejmuje: produkcji przekąsek ziemniaczanych, sklasyfikowanej w 10.31.Z.;179;"Produkcja sucharów i herbatników; produkcja konserwowanych wyrobów ciastkarskich i ciastek"
10.73;Produkcja makaronów, klusek, kuskusu i podobnych wyrobów mącznych;;180;Produkcja makaronów, klusek, kuskusu i podobnych wyrobów mącznych
10.73.Z;Produkcja makaronów, klusek, kuskusu i podobnych wyrobów mącznych;10.73.Z Podklasa ta obejmuje: produkcję makaronów, pierogów i klusek, gotowanych lub surowych, nadziewanych lub nienadziewanych, produkcję kuskusu, produkcję konserwowanych lub mrożonych wyrobów makaronowych. Podklasa ta nie obejmuje: produkcji gotowych dań zawierających kuskus, sklasyfikowanej w 10.85.Z, produkcji zup zawierających makaron, sklasyfikowanej w 10.89.Z.;181;Produkcja makaronów, klusek, kuskusu i podobnych wyrobów mącznych
